username,selectedThemes
Nicholas Kline,"['6_Machine Learning/AI', '23_Beginner Friendly', '12_Lifehacks', '19_Education']"
Lori Bennett,"['14_COVID-19', '17_Low/No Code', '20_E-commerce/Retail', '23_Beginner Friendly', '27_Robotic Process Automation', '2_DevOps', '1_Blockchain', '26_Mobile', '21_Enterprise', '18_Design', '6_Machine Learning/AI', '22_Open Ended', '11_Productivity', '7_IoT', '9_Cybersecurity', '10_Communication']"
Margaret Jones,"['23_Beginner Friendly', '28_Databases', '21_Enterprise', '6_Machine Learning/AI', '25_Web', '3_Fintech', '8_Voice skills', '11_Productivity', '13_Social Good', '14_COVID-19', '12_Lifehacks', '16_Health', '17_Low/No Code', '24_Quantum', '10_Communication', '2_DevOps', '22_Open Ended', '7_IoT', '26_Mobile', '15_Music/Art', '9_Cybersecurity', '4_Gaming', '20_E-commerce/Retail', '19_Education', '5_AR/VR', '18_Design', '1_Blockchain']"
Paul Brown,"['19_Education', '25_Web', '27_Robotic Process Automation', '23_Beginner Friendly', '15_Music/Art', '13_Social Good', '9_Cybersecurity', '11_Productivity', '1_Blockchain', '10_Communication', '14_COVID-19', '20_E-commerce/Retail', '17_Low/No Code', '7_IoT', '16_Health', '26_Mobile', '3_Fintech', '8_Voice skills', '24_Quantum', '18_Design', '4_Gaming', '12_Lifehacks', '2_DevOps']"
James Stone,"['15_Music/Art', '20_E-commerce/Retail', '6_Machine Learning/AI', '8_Voice skills', '12_Lifehacks', '5_AR/VR', '3_Fintech', '19_Education', '24_Quantum', '21_Enterprise', '17_Low/No Code', '23_Beginner Friendly', '16_Health', '2_DevOps', '14_COVID-19', '4_Gaming', '1_Blockchain', '11_Productivity', '10_Communication']"
John Richards,"['1_Blockchain', '14_COVID-19', '26_Mobile', '2_DevOps', '27_Robotic Process Automation', '28_Databases', '6_Machine Learning/AI', '5_AR/VR', '21_Enterprise', '18_Design']"
Jenny Richardson,"['24_Quantum', '20_E-commerce/Retail', '2_DevOps', '11_Productivity', '7_IoT', '1_Blockchain', '13_Social Good', '15_Music/Art', '10_Communication', '21_Enterprise', '17_Low/No Code', '6_Machine Learning/AI', '12_Lifehacks', '14_COVID-19', '3_Fintech', '19_Education', '4_Gaming', '25_Web', '26_Mobile', '28_Databases', '9_Cybersecurity', '8_Voice skills']"
Debbie Waters MD,"['13_Social Good', '25_Web']"
Austin Boyer,"['25_Web', '4_Gaming']"
Stephanie Hayes,"['16_Health', '6_Machine Learning/AI', '27_Robotic Process Automation', '10_Communication', '21_Enterprise', '19_Education', '23_Beginner Friendly', '1_Blockchain', '8_Voice skills', '22_Open Ended', '5_AR/VR', '20_E-commerce/Retail', '25_Web', '28_Databases', '9_Cybersecurity', '18_Design', '7_IoT', '15_Music/Art', '13_Social Good', '3_Fintech', '4_Gaming']"
Barbara Sanders,"['3_Fintech', '26_Mobile', '28_Databases', '25_Web', '15_Music/Art', '8_Voice skills', '10_Communication', '6_Machine Learning/AI', '23_Beginner Friendly', '12_Lifehacks', '2_DevOps', '27_Robotic Process Automation', '14_COVID-19', '4_Gaming', '1_Blockchain', '19_Education', '24_Quantum', '16_Health', '18_Design', '7_IoT', '20_E-commerce/Retail', '21_Enterprise', '5_AR/VR', '22_Open Ended']"
Andrew Gould,"['11_Productivity', '17_Low/No Code', '14_COVID-19', '5_AR/VR', '28_Databases', '15_Music/Art', '4_Gaming', '23_Beginner Friendly', '10_Communication', '26_Mobile', '3_Fintech', '1_Blockchain']"
Charles Gonzalez,"['10_Communication', '6_Machine Learning/AI', '16_Health', '19_Education', '27_Robotic Process Automation', '24_Quantum', '22_Open Ended', '18_Design', '5_AR/VR', '2_DevOps', '13_Social Good', '8_Voice skills', '21_Enterprise', '3_Fintech', '12_Lifehacks']"
Joshua Hernandez,"['27_Robotic Process Automation', '21_Enterprise', '20_E-commerce/Retail']"
Victoria Hernandez MD,"['5_AR/VR', '8_Voice skills', '4_Gaming', '19_Education', '3_Fintech', '2_DevOps', '20_E-commerce/Retail', '9_Cybersecurity', '22_Open Ended', '1_Blockchain', '16_Health', '13_Social Good', '15_Music/Art', '7_IoT', '14_COVID-19', '28_Databases', '24_Quantum']"
Sherry Simpson,"['26_Mobile', '1_Blockchain']"
Erica Jimenez,"['25_Web', '6_Machine Learning/AI', '28_Databases', '3_Fintech', '2_DevOps', '8_Voice skills', '11_Productivity', '24_Quantum', '26_Mobile', '23_Beginner Friendly', '22_Open Ended', '16_Health', '21_Enterprise', '1_Blockchain', '12_Lifehacks', '27_Robotic Process Automation', '18_Design', '4_Gaming']"
Mr. Dakota Lynch II,"['27_Robotic Process Automation', '22_Open Ended', '10_Communication', '21_Enterprise', '7_IoT']"
Victor Nolan,"['3_Fintech', '25_Web', '11_Productivity', '24_Quantum', '19_Education']"
Amanda Hernandez,"['21_Enterprise', '20_E-commerce/Retail', '1_Blockchain', '11_Productivity', '4_Gaming', '25_Web', '16_Health', '10_Communication', '17_Low/No Code', '26_Mobile', '9_Cybersecurity']"
Richard Kirby,"['11_Productivity', '28_Databases', '23_Beginner Friendly', '5_AR/VR', '17_Low/No Code', '10_Communication', '21_Enterprise', '13_Social Good', '8_Voice skills', '22_Open Ended', '6_Machine Learning/AI', '25_Web', '3_Fintech', '15_Music/Art', '26_Mobile', '1_Blockchain', '16_Health', '27_Robotic Process Automation', '14_COVID-19', '9_Cybersecurity', '7_IoT', '12_Lifehacks', '2_DevOps', '24_Quantum', '19_Education', '20_E-commerce/Retail']"
Michelle Roman,"['27_Robotic Process Automation', '22_Open Ended', '10_Communication', '8_Voice skills', '26_Mobile', '12_Lifehacks', '28_Databases', '24_Quantum', '23_Beginner Friendly', '11_Productivity', '7_IoT', '16_Health', '19_Education', '21_Enterprise', '5_AR/VR', '13_Social Good', '3_Fintech', '6_Machine Learning/AI']"
Bradley Melton,"['10_Communication', '22_Open Ended', '8_Voice skills', '20_E-commerce/Retail', '27_Robotic Process Automation', '24_Quantum', '16_Health']"
Danny Williams,"['28_Databases', '5_AR/VR', '7_IoT', '23_Beginner Friendly']"
Ryan Rivera,"['25_Web', '24_Quantum', '19_Education', '3_Fintech', '6_Machine Learning/AI', '28_Databases', '12_Lifehacks', '14_COVID-19', '9_Cybersecurity', '4_Gaming', '17_Low/No Code', '27_Robotic Process Automation', '2_DevOps', '7_IoT', '13_Social Good', '10_Communication', '18_Design', '1_Blockchain', '20_E-commerce/Retail', '22_Open Ended', '23_Beginner Friendly']"
Charles Douglas,"['28_Databases', '22_Open Ended', '2_DevOps', '19_Education', '10_Communication', '24_Quantum', '14_COVID-19', '25_Web', '27_Robotic Process Automation', '9_Cybersecurity', '13_Social Good', '12_Lifehacks', '8_Voice skills', '5_AR/VR', '3_Fintech', '6_Machine Learning/AI', '1_Blockchain']"
Kathy Santana,"['22_Open Ended', '24_Quantum']"
Laura Gregory,"['2_DevOps', '22_Open Ended', '15_Music/Art', '23_Beginner Friendly', '3_Fintech', '9_Cybersecurity', '14_COVID-19', '25_Web', '27_Robotic Process Automation', '17_Low/No Code', '16_Health', '7_IoT', '28_Databases', '19_Education', '12_Lifehacks', '26_Mobile', '18_Design', '13_Social Good', '20_E-commerce/Retail', '11_Productivity', '1_Blockchain', '8_Voice skills', '10_Communication', '24_Quantum', '4_Gaming', '6_Machine Learning/AI']"
Norma Mooney,"['21_Enterprise', '18_Design', '9_Cybersecurity', '10_Communication', '1_Blockchain', '27_Robotic Process Automation', '17_Low/No Code', '3_Fintech', '20_E-commerce/Retail', '12_Lifehacks', '6_Machine Learning/AI', '16_Health', '24_Quantum', '26_Mobile', '2_DevOps', '13_Social Good']"
Susan Harris,"['7_IoT', '20_E-commerce/Retail', '6_Machine Learning/AI', '28_Databases', '25_Web']"
Linda Petersen,"['10_Communication', '28_Databases', '16_Health', '18_Design', '8_Voice skills', '22_Open Ended', '7_IoT', '2_DevOps', '9_Cybersecurity', '3_Fintech', '26_Mobile', '24_Quantum', '6_Machine Learning/AI', '20_E-commerce/Retail', '14_COVID-19', '4_Gaming', '23_Beginner Friendly', '27_Robotic Process Automation', '21_Enterprise', '11_Productivity', '17_Low/No Code']"
Dr. James Willis,"['4_Gaming', '27_Robotic Process Automation', '13_Social Good', '20_E-commerce/Retail', '15_Music/Art', '3_Fintech', '18_Design', '12_Lifehacks', '9_Cybersecurity', '1_Blockchain', '21_Enterprise', '5_AR/VR', '24_Quantum', '6_Machine Learning/AI', '26_Mobile', '22_Open Ended', '23_Beginner Friendly', '28_Databases', '7_IoT', '16_Health', '14_COVID-19', '19_Education', '11_Productivity', '2_DevOps', '8_Voice skills', '10_Communication', '25_Web', '17_Low/No Code']"
Rebecca Sandoval,"['13_Social Good', '17_Low/No Code', '14_COVID-19', '6_Machine Learning/AI', '18_Design', '23_Beginner Friendly', '15_Music/Art', '9_Cybersecurity', '20_E-commerce/Retail', '22_Open Ended', '25_Web', '24_Quantum', '11_Productivity', '21_Enterprise']"
Christopher Hunter,"['16_Health', '2_DevOps', '13_Social Good', '21_Enterprise', '5_AR/VR', '8_Voice skills', '12_Lifehacks', '25_Web', '19_Education', '4_Gaming']"
Austin Heath,"['28_Databases', '14_COVID-19', '5_AR/VR', '27_Robotic Process Automation', '21_Enterprise', '24_Quantum', '19_Education', '9_Cybersecurity', '10_Communication', '11_Productivity', '3_Fintech', '20_E-commerce/Retail', '17_Low/No Code', '1_Blockchain', '15_Music/Art', '23_Beginner Friendly', '16_Health', '12_Lifehacks', '2_DevOps', '13_Social Good', '22_Open Ended', '25_Web', '7_IoT', '18_Design', '8_Voice skills', '4_Gaming', '6_Machine Learning/AI', '26_Mobile']"
Elizabeth Russell,"['17_Low/No Code', '28_Databases', '8_Voice skills', '7_IoT', '20_E-commerce/Retail', '6_Machine Learning/AI', '19_Education', '27_Robotic Process Automation', '15_Music/Art', '1_Blockchain', '12_Lifehacks', '13_Social Good', '9_Cybersecurity', '21_Enterprise', '16_Health', '3_Fintech', '18_Design', '2_DevOps', '4_Gaming', '11_Productivity', '22_Open Ended', '23_Beginner Friendly', '5_AR/VR', '25_Web', '10_Communication', '14_COVID-19', '24_Quantum', '26_Mobile']"
Amy Davidson,"['25_Web', '5_AR/VR', '16_Health', '12_Lifehacks', '14_COVID-19', '19_Education', '6_Machine Learning/AI', '18_Design', '22_Open Ended', '1_Blockchain', '20_E-commerce/Retail', '27_Robotic Process Automation', '15_Music/Art', '17_Low/No Code', '3_Fintech', '10_Communication', '7_IoT', '24_Quantum', '11_Productivity', '9_Cybersecurity', '23_Beginner Friendly', '13_Social Good']"
Dustin Greer,"['28_Databases', '7_IoT', '21_Enterprise', '27_Robotic Process Automation', '1_Blockchain', '22_Open Ended', '5_AR/VR', '12_Lifehacks', '6_Machine Learning/AI', '4_Gaming', '8_Voice skills', '26_Mobile', '10_Communication', '3_Fintech', '2_DevOps', '9_Cybersecurity', '24_Quantum', '23_Beginner Friendly', '11_Productivity', '14_COVID-19', '18_Design', '25_Web', '20_E-commerce/Retail']"
Andrew Butler,"['27_Robotic Process Automation', '16_Health', '11_Productivity', '4_Gaming', '9_Cybersecurity', '17_Low/No Code', '18_Design', '20_E-commerce/Retail', '3_Fintech', '25_Web', '5_AR/VR', '2_DevOps', '1_Blockchain', '10_Communication', '23_Beginner Friendly', '24_Quantum', '8_Voice skills', '15_Music/Art', '26_Mobile', '13_Social Good', '12_Lifehacks', '7_IoT', '21_Enterprise']"
Scott Love DDS,"['27_Robotic Process Automation', '18_Design']"
William Jenkins,"['21_Enterprise', '13_Social Good', '5_AR/VR', '23_Beginner Friendly', '11_Productivity', '20_E-commerce/Retail', '16_Health', '15_Music/Art']"
Jasmine Williams,"['11_Productivity', '27_Robotic Process Automation', '26_Mobile', '28_Databases', '5_AR/VR', '2_DevOps', '20_E-commerce/Retail', '13_Social Good', '12_Lifehacks', '4_Gaming', '21_Enterprise', '19_Education', '6_Machine Learning/AI', '7_IoT', '22_Open Ended', '15_Music/Art', '14_COVID-19', '24_Quantum', '16_Health', '23_Beginner Friendly', '25_Web', '10_Communication', '17_Low/No Code', '9_Cybersecurity', '3_Fintech']"
Christian Johnson,"['23_Beginner Friendly', '2_DevOps', '13_Social Good', '6_Machine Learning/AI', '11_Productivity', '25_Web', '4_Gaming']"
Lorraine Garcia,"['19_Education', '8_Voice skills', '28_Databases', '15_Music/Art', '1_Blockchain', '23_Beginner Friendly', '21_Enterprise', '17_Low/No Code', '11_Productivity', '9_Cybersecurity', '16_Health', '6_Machine Learning/AI', '13_Social Good', '26_Mobile', '14_COVID-19', '27_Robotic Process Automation', '12_Lifehacks', '2_DevOps', '4_Gaming', '24_Quantum', '3_Fintech', '5_AR/VR']"
Hannah Reyes,"['20_E-commerce/Retail', '17_Low/No Code', '4_Gaming', '22_Open Ended', '13_Social Good', '26_Mobile', '10_Communication', '23_Beginner Friendly', '18_Design', '5_AR/VR', '16_Health', '27_Robotic Process Automation', '14_COVID-19', '21_Enterprise', '1_Blockchain', '12_Lifehacks']"
Katherine Ibarra,"['11_Productivity', '18_Design', '5_AR/VR', '4_Gaming', '6_Machine Learning/AI', '20_E-commerce/Retail', '12_Lifehacks', '10_Communication', '21_Enterprise', '26_Mobile', '9_Cybersecurity']"
Julie Chen,"['15_Music/Art', '24_Quantum', '3_Fintech', '17_Low/No Code', '18_Design', '19_Education']"
Caleb Fleming,"['20_E-commerce/Retail', '28_Databases', '1_Blockchain', '5_AR/VR', '3_Fintech', '24_Quantum', '9_Cybersecurity', '25_Web', '27_Robotic Process Automation', '6_Machine Learning/AI', '8_Voice skills', '19_Education', '13_Social Good', '11_Productivity', '26_Mobile', '23_Beginner Friendly', '4_Gaming', '14_COVID-19', '12_Lifehacks', '17_Low/No Code', '18_Design', '22_Open Ended', '16_Health', '21_Enterprise', '2_DevOps', '7_IoT', '15_Music/Art', '10_Communication']"
Rachel Martinez,"['18_Design', '1_Blockchain', '11_Productivity', '21_Enterprise', '4_Gaming', '10_Communication', '26_Mobile', '8_Voice skills', '28_Databases', '25_Web', '16_Health', '2_DevOps', '15_Music/Art', '27_Robotic Process Automation', '22_Open Ended', '24_Quantum', '19_Education', '7_IoT', '23_Beginner Friendly', '5_AR/VR', '14_COVID-19']"
Rebecca Stark,"['1_Blockchain', '28_Databases', '6_Machine Learning/AI', '2_DevOps', '23_Beginner Friendly', '21_Enterprise', '27_Robotic Process Automation', '14_COVID-19', '15_Music/Art', '12_Lifehacks', '24_Quantum', '4_Gaming', '26_Mobile', '18_Design', '17_Low/No Code', '16_Health', '20_E-commerce/Retail', '8_Voice skills', '11_Productivity', '7_IoT', '13_Social Good', '22_Open Ended', '25_Web']"
Melanie Patrick,"['19_Education', '1_Blockchain', '20_E-commerce/Retail', '6_Machine Learning/AI', '18_Design', '12_Lifehacks', '9_Cybersecurity', '23_Beginner Friendly', '2_DevOps', '15_Music/Art', '3_Fintech', '26_Mobile', '13_Social Good', '16_Health', '17_Low/No Code', '28_Databases', '10_Communication', '8_Voice skills', '21_Enterprise', '11_Productivity', '7_IoT']"
Rachel Lopez,"['22_Open Ended', '13_Social Good']"
Jill Sherman,"['4_Gaming', '7_IoT', '19_Education', '1_Blockchain', '10_Communication', '25_Web', '2_DevOps', '21_Enterprise', '11_Productivity', '3_Fintech', '23_Beginner Friendly', '17_Low/No Code', '13_Social Good', '15_Music/Art', '18_Design', '8_Voice skills']"
Richard Jones,"['15_Music/Art', '11_Productivity', '10_Communication', '12_Lifehacks', '26_Mobile', '14_COVID-19', '21_Enterprise', '23_Beginner Friendly', '2_DevOps', '19_Education', '17_Low/No Code', '4_Gaming', '13_Social Good', '9_Cybersecurity', '24_Quantum', '5_AR/VR', '20_E-commerce/Retail', '16_Health', '27_Robotic Process Automation']"
Timothy Tucker,"['12_Lifehacks', '7_IoT', '24_Quantum', '8_Voice skills', '19_Education', '15_Music/Art', '4_Gaming', '17_Low/No Code', '26_Mobile', '13_Social Good', '6_Machine Learning/AI', '22_Open Ended', '5_AR/VR', '2_DevOps', '28_Databases', '14_COVID-19', '23_Beginner Friendly']"
Theresa Estrada,"['27_Robotic Process Automation', '11_Productivity', '25_Web', '23_Beginner Friendly', '14_COVID-19', '26_Mobile', '18_Design', '8_Voice skills', '6_Machine Learning/AI', '9_Cybersecurity', '28_Databases', '2_DevOps', '15_Music/Art', '1_Blockchain', '12_Lifehacks', '7_IoT', '10_Communication', '16_Health', '5_AR/VR', '3_Fintech', '20_E-commerce/Retail']"
Cindy Davis,"['14_COVID-19', '11_Productivity', '6_Machine Learning/AI', '28_Databases', '13_Social Good', '26_Mobile', '27_Robotic Process Automation', '12_Lifehacks', '25_Web', '10_Communication', '22_Open Ended', '16_Health', '4_Gaming', '1_Blockchain', '18_Design', '19_Education', '20_E-commerce/Retail', '24_Quantum', '21_Enterprise', '15_Music/Art', '7_IoT', '9_Cybersecurity', '8_Voice skills', '2_DevOps', '3_Fintech', '23_Beginner Friendly', '5_AR/VR', '17_Low/No Code']"
Stacy Chan,"['28_Databases', '1_Blockchain', '18_Design', '22_Open Ended', '21_Enterprise', '14_COVID-19', '24_Quantum', '15_Music/Art', '20_E-commerce/Retail', '19_Education', '10_Communication', '8_Voice skills', '5_AR/VR', '25_Web', '12_Lifehacks', '2_DevOps', '3_Fintech', '4_Gaming', '13_Social Good', '16_Health', '23_Beginner Friendly', '26_Mobile']"
Jennifer Torres,"['3_Fintech', '14_COVID-19', '17_Low/No Code', '24_Quantum', '4_Gaming', '8_Voice skills', '6_Machine Learning/AI', '2_DevOps', '13_Social Good', '12_Lifehacks', '26_Mobile', '28_Databases', '5_AR/VR', '16_Health', '23_Beginner Friendly', '15_Music/Art', '18_Design', '27_Robotic Process Automation', '11_Productivity', '21_Enterprise', '19_Education', '22_Open Ended', '10_Communication']"
Jeffery Knight,"['26_Mobile', '5_AR/VR', '21_Enterprise', '18_Design', '6_Machine Learning/AI', '23_Beginner Friendly', '12_Lifehacks', '28_Databases', '25_Web', '3_Fintech', '7_IoT', '10_Communication', '15_Music/Art', '19_Education', '8_Voice skills', '11_Productivity', '4_Gaming', '1_Blockchain']"
Taylor Perry,"['27_Robotic Process Automation', '16_Health', '4_Gaming', '9_Cybersecurity', '7_IoT', '24_Quantum', '5_AR/VR', '20_E-commerce/Retail', '6_Machine Learning/AI', '18_Design', '12_Lifehacks', '3_Fintech', '11_Productivity', '15_Music/Art', '8_Voice skills', '17_Low/No Code', '23_Beginner Friendly', '10_Communication', '1_Blockchain', '25_Web', '2_DevOps', '19_Education', '13_Social Good', '21_Enterprise', '22_Open Ended', '26_Mobile']"
Raymond Navarro,"['3_Fintech', '6_Machine Learning/AI', '2_DevOps', '28_Databases', '21_Enterprise', '16_Health', '25_Web', '8_Voice skills', '10_Communication', '17_Low/No Code']"
Jeremy Parks,"['12_Lifehacks', '16_Health', '21_Enterprise', '8_Voice skills', '3_Fintech', '25_Web', '23_Beginner Friendly', '19_Education', '11_Productivity', '13_Social Good', '9_Cybersecurity', '5_AR/VR', '18_Design', '6_Machine Learning/AI', '28_Databases', '17_Low/No Code', '24_Quantum', '22_Open Ended', '14_COVID-19', '10_Communication', '4_Gaming', '26_Mobile', '15_Music/Art', '27_Robotic Process Automation', '1_Blockchain', '7_IoT']"
Thomas Rivers,"['1_Blockchain', '23_Beginner Friendly', '10_Communication', '14_COVID-19', '6_Machine Learning/AI', '11_Productivity', '12_Lifehacks', '25_Web']"
Angela Jones,"['12_Lifehacks', '19_Education', '20_E-commerce/Retail', '26_Mobile', '17_Low/No Code', '3_Fintech']"
Allen Bailey,"['1_Blockchain', '12_Lifehacks', '20_E-commerce/Retail', '10_Communication', '8_Voice skills', '23_Beginner Friendly', '19_Education', '6_Machine Learning/AI', '11_Productivity', '5_AR/VR', '18_Design', '27_Robotic Process Automation']"
William Fuentes,"['11_Productivity', '9_Cybersecurity', '24_Quantum', '18_Design']"
Steven Clark,"['16_Health', '9_Cybersecurity', '27_Robotic Process Automation', '4_Gaming', '10_Communication', '6_Machine Learning/AI', '20_E-commerce/Retail', '18_Design', '21_Enterprise', '24_Quantum', '2_DevOps', '13_Social Good', '28_Databases', '14_COVID-19', '5_AR/VR']"
