,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
Nicholas Flores,YouthCodeX,Cisco Meraki Global Hackathon 2022,WeCargo ,HackathonX,AWS {PDX} Hackathon
Edward Ruiz,Sorobanathon: Road to Mainnet,HackBlue Cyber Hackathon,Hack Your Path 4.0,Hacking for Humanity - Tech para la inclusión financiera,Civiso Designathon 2022
Rebecca Hill,WQCC x IBM Quantum Qiskit Fall Fest Hackathon,QuackHacks Spring 2023,Thailand champion,UofA Blueprint Hackathon,HackNEHS
Melissa Flynn,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
James Saunders,HackLBS,UX Scene Designathon 2022,SDaCathon 2022 - Hack the Construction ,AUIB Hackathon ,FactHack 2023
David Chavez,MD Hacks,AI For Good,MuleSoft Hackathon 2021,Seerbit Future of Payment Hackathon ,Lehman Hacks
Brenda Ford,API World Hackathon 2022,Hawaii Annual Code Challenge 2021,Cybersecurity Hackathon- Secure Kenya,#PayAsYouKnow Hackathon,Go Blue Innovate
Karen Harris,API World Hackathon 2022,Hack the Bronx 2,hackaTUM C0dev1d19,Kiva Fall 2021 Hackathon,PoweringSTEMHacks2
Michael Montgomery,HubIT Online-Designathon ,Post Covid Hack 2020,Pitt Challenge 2020,6ixBits,Hacking for Humanity : Health Systems of The New Normal
Edwin Mack,INRIX Hack 2022,Interledger Hackathon - ILP Summit 2023 Edition,FemmeHacks 2023,EVMxIdeathon,Intelligent Innovators Hackathon 2022
Kimberly Moore,FRC Back to School Hackathon,Innovate2Educate Hackathon,HackED Society's Decodeathon,WebWonders Hackfest,Conrad Challenge Jr. Hackathon
Kaitlin Gregory,Google’s Immersive Geospatial Challenge,WyoHackathon 2020,Wildcat Fresh Hacks,Patriot_Hacks,Moscow Zoohackathon
Crystal Gill,Google’s Immersive Geospatial Challenge,Boston University Welcome Back MiniHack,Treasure Hacks,VandyHacks IX,INRIX Hack
William Martinez,HackSussex,Evergreen Grand Hackathon,Prompt Engineering Hackathon for Humanities,Red Bull AdrenaLAN 2019,HackTable2020
Amanda Scott,Devfest Ikot-Ekpene 2022,DevFest Eket 2023 - Ecosolutions,Social Ideathon,2020 Facebook Developer Circles Community Challenge,monday.com Apps Marketplace Challenge: solutions for teams 
Lauren Foster,TechTogether Boston,The Hackathon 2020,Quick Base Virtual Hackathon,Campus2030,SyntHacks II
David Campbell,HackFromHome - Round 2,Helix Hacks,The python coders,Equal Opportunity StarHacks Hackathon: Sponsored by NetScout,Blueprint Datathon
Susan Larson,HackSussex,PayString BlockSprint Hackathon,SCEhacks,Hydrogen X Future Hackathon,Hack for the World
Ricky Torres,BioMedTech Baja Hackathon,What The Hack 2022,CodeUp Hackathon,Blockstack Can't Be Evil Contest: Part 3,MOBI Grand Challenge Phase II - Citopia
Joseph Wright,Google’s Immersive Geospatial Challenge,CodeDAO Web3 Hackathon,Girls in Tech SF Hacking for Humanity 2022,Columbia Data Science Society Hackathon 2023,Data Hackfest
Carla Perry,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Joseph Berry,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Kim Jenkins,Google’s Immersive Geospatial Challenge,The 6-week Smart Contract Hackathon,Cosmos HackAtom V,BCIT Winter Hacks 2021,Hack or Treat 2
Jennifer Osborne,HCI Hacks,CodeFest,HackRU Fall 2023,HackED 2022,AthenaHacks 2023
Ebony Watson,API World Hackathon 2022,tuwaiq bootcamp project,Chainlink Fall 2022 Hackathon,Pega Community Hackathon 2022,AWS Graviton Hackathon
Brooke Terry,Hacking for Humanity - Tech para la inclusión financiera,Hack Upstate XV,Hack to the Future 2020,Hack the Change 2022,HackUiet 2021
Kevin Taylor,API World Hackathon 2022,Zoohackathon Finland,POSTPONED! -- Lopes Giving Back Hack 2022,Haryana Steelers Hackathon,McGill CodeJam 12
Heather Kennedy,API World Hackathon 2022,Helyx India Hacks,Campus Hack,HackSmith 2021,Codestellation 2020
John Neal,CodeXplode: Ignite the Coding Revolution,Datathon FME 2022,Databricks Asia Pacific LLM Cup 2023,Outsourcing Accounting Services,AI Blockchain
Matthew Brown,Evergreen Grand Hackathon,Sorobanathon: Road to Mainnet,Nylas and AI: Email and Calendaring for the Future,uXperience | Think Privacy,2. Provinzial Rheinland Hackathon: Future of Insurance
Patrick Williams,API World Hackathon 2022,HackElevate,Defense Hackathon SRM ,ProjectCSGirls Fremont 2021 Hackathon,Hajjathon
Allison Ruiz,California Artificial Intelligence Summit (GCL),Horror Hacks 2023,KuriusHacks: Christmas Edition 2021,NUS Inter-Hall Hackathon,Baseball Hack Day 2023
Alexandra Rose,API World Hackathon 2022,Youth4Change Hackathon 2022,Hack This Fall 2.0,Codegeist 2022,Hack to the Future 2020
Sean Parks,life --upgrade,Hack Roboy #5,HackEPS2020,HackEPS 2021,Hackathon Deacero 2020
Maureen Smith,API World Hackathon 2022,Accenture Hackathon - Banking Revolution Edition,Kijiji Internal Hackathon,Devfest Ikot-Ekpene 2022,Garuda Hacks v2.0
Marc Key,SyntHacks II,API 2019 Hackathon,HackATL 2020,HP SCDS 2019 Hackathon. La España vacia,PharmaHacks 2019
Melissa Acosta,API World Hackathon 2022,WeMakeDevs <> Stream Hackathon,Cosmos HackAtom VI ,AWS Health AI Hackathon,Celo's Make Crypto Mobile Hackathon
Paul Roberts,Google’s Immersive Geospatial Challenge,Hack the Bronx 2,CodeRED Odyssey,HackED Society's Decodeathon,Hack the Valley 8
Joel Rivera,API World Hackathon 2022,Hack It Together 2023,SunflowerHack2021,STEM JAM,CuseHacks Beta 2023
Javier Prince,Hacks for Humanity,"Motor City Hack on Mobility, Health and Well-being",Hack the Change 2022,Hack the Change 2023,INNOV8 Hackathon 2023
Jermaine Fletcher,Privacy4Web3 Hackathon,HackBlue Cyber Hackathon,Utonhack 2021 / Clover ,MLH Coding Challenge,Swiss Blockchain Hackathon 2021
Beverly Lozano,DevFest GDG Algiers 2k19,Ultra Uniq NFT PFP Hackathon,Hackadtech - open hackathon by AdTech Holding,Kiva Fall 2021 Hackathon,Strike: A Virtual Lightning Hackathon
Richard Price,Google’s Immersive Geospatial Challenge,BlockHack Hackathon,NightHacks,MetroHacks 2021,CodeUp-Hack-22
Jean Robinson,The Green Plan 2030 Challenge,BusinessMeetsTech IdeaHack! 2022,Clarkathon 2023,Civiso Designathon 2022,Cisco Meraki Global Hackathon 2022
Todd Willis,Civiso Designathon 2022,Hack It Out,SFU Engineering Competition 2021,Hack Your Learning - SchulichHacks 2023,Spooky Software Hackathon
James Young,Databricks Asia Pacific LLM Cup 2023,Datathon FME 2022,ML4Earth Hackathon 2022 (online),SingleStore Database Hackathon ,Global Power Rankings Hackathon
Cody Brown,API World Hackathon 2022,HACK LPS,Cutie Hack 2020: Stay At Home,EduLearn Hackathon(✧Free Goodies for All!✧),Post Covid Hack 2020
Carrie Bishop,API World Hackathon 2022,A-Z Hacks,SchoolHacks,Zoohackathon Finland,Castlethon 4.0
Michele Hunt,CSI Hackathon,Hajj and Umrah Challenge - تحدي الحج والعمرة,Machine Hacks,ONE Record Hackathon Toronto - Hosted by Air Canada Cargo & IBM,DevFest Eket 2023 - Ecosolutions
Shawn Gomez,Hackathon BDC Montréal 2020,Training Camp 9,Luna Hacks  : Software Engineering ,Hackadon 2020 - COVID-19 ONLINE EDITION,GPT Plugins (S)Hackathon
Mark Black,API World Hackathon 2022,Pitt Challenge 2021,Hackathon Bojonegoro,HackPrinceton Fall 2022,2. Provinzial Rheinland Hackathon: Future of Insurance
Tina Spears,Ensenada Hackathon 2022,Genius Challenge,AI For Good,FOLLOW THE WHITE RABBIT HACKATHON 2021,Intelligent Innovators Hackathon 2022
Lauren Henry,QImpacts!,Open Data Hack St.Gallen 2022,Odyssey Hackathon 2021 - For underrepresented students,Geaux Hack the Globe ,RoboHacks 2
Cindy Adams,Courier Hacks: Feature Focus,hackTAMS Fall 2021,Hacks4Health,North Shore Hacks,NEW HORIZON
Christopher Smith,Google’s Immersive Geospatial Challenge,Prototypical,GDSC Game Jam,hackTAMS Fall 2021,Code Green
Brenda Buchanan,Chainlink Fall 2022 Hackathon,WyoHackathon 2020,Post Covid Hack 2020,ETH Panama Hackathon 2022,DigitalBits Blockchain Hackathon
Tracy Sanders,TABConf,BlockHack Hackathon,LEC Hacks,LEC Hacks 2023,"""Jump In!"" Hackathon"
Jody Morgan,API World Hackathon 2022,AWS Health AI Hackathon,Microsoft Azure Innovation Challenge ,Slimplicity: Slim.AI Hackathon,The 6-week Smart Contract Hackathon
Stephen Norton,Hack The World,Lehman Hacks,Uganda Zoohackathon 2019,Give Back Hacks 2.0,CodeRED Artemis
Jesus Nguyen,Miami Buildathon,Cosmos HackAtom V,Cosmos HackAtom VI ,BlockHack Global FE 2022,Metis Ethereum Hackathon
Andrew Wood,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Joseph Lopez,Boston University Welcome Back MiniHack,LearnHacks ,GreenHack Challenge 2023 - Biodiversity and Ecotourism App Hackathon,Global Design Challenge for Sport and Physical Activity 2022 ,Code for Change
Michael Fitzgerald,SMU LIT Hackathon 2022,Hackerslack,AT&T 5G Hackathon,IEEE NJIT Byte into Hardware,Microsoft US Hack for Wellness
Scott Scott,INRIX Hack,INRIX Hack 2023,INRIX Hack 2022,Outsourcing Accounting Services,DeveloperWeek Enterprise 2022 Hackathon
Micheal Williams,API World Hackathon 2022,hackUMBC Fall 2021,HackeRam,NextStep,API World Hackathon 2021
Andrea Murray,Go Blue Innovate,NUS Inter-Hall Hackathon,Defense Hackathon SRM ,Vivid Hacks,HackED Beta 2022
Amber Lamb,TAMU Datathon 2020,Hack to the Future,Bitcoin Hackathon for MFI & Education,MadurAIOpenTecHackathon,Diffusion 2019
Julia Wilson,Google’s Immersive Geospatial Challenge,SASEhack Fall 2023,Liquid Hacks 2.0,HackUTA 2022,Ultra Uniq NFT PFP Hackathon
Brett Cannon,SouthHacks 2019,Devfest'22 Algiers,The ELC Virtual Hackathon,SchoolHacks,SPARKATHON
Thomas Alexander,STEM JAM,CodeXplode: Ignite the Coding Revolution,Miami Buildathon,Ultra Uniq NFT PFP Hackathon,Metaverso Hackathon
Jeffery Fischer,API World Hackathon 2022,Inspire2Dev Summer Hackathon,AWS Graviton Hackathon,WeMakeDevs <> Stream Hackathon,Chainlink Fall Hackathon 2021
Amanda White,API World Hackathon 2022,Presto Hacks,The Hackathon 2021,The Hackathon 2020,Data Hackfest
Carl Pitts DVM,Google’s Immersive Geospatial Challenge,Torus 4 Everyone,Hack the Valley 8,CrimsonCode Hackathon,Fall 2022 BeaverHacks Life-Hackathon 
Jeffrey Hawkins,Google’s Immersive Geospatial Challenge,PowerToFly Diversity Hackathon (December 2022),Global Hack Week December Day 1,TPCC DMIG: The Green Micro:bit Challenge,Fremont Hacks
Joshua Harris,YB Hackathon,The Global Hackathon - LA Blockchain Week ,A-Z Hacks,Random Power Hackathon,HackUIowa '22
Jeremy Jacobs,PlutoHacks 2023,A-Z Hacks,Castlethon 4.0,Slimplicity: Slim.AI Hackathon,HackmaFest
Debbie Hall,API World Hackathon 2022,Hack APAC - “The New Normal is Yours!”,BlockHack Global FE 2022,Appathon@HCC - Spring 2021,Mixed Reality Challenge: StereoKit (C# and OpenXR)
Richard Garcia,API World Hackathon 2022,CodeXplode: Ignite the Coding Revolution,Hacks4Health,Accessibility for All: Hacking for an Inclusive Future,NEXT CREATE-A-THON
Danielle Mitchell,API World Hackathon 2022,VTHacks X,NewHacks 2022,INRIX Hack 2022,Vivid Hacks
Mary Harmon,Google’s Immersive Geospatial Challenge,FinHack 2,Harvest Hacks,AI Hacks,HackHolyoke 2021
Shannon Martinez,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Bailey Mclaughlin,HackQC 2022,MetroHacks 2022,CS Week 3.0 Hackathon,Encode Justice NY Hackathon,AR/VR Africa 2022 Metathon | Ethiopia
Michael Warner,API World Hackathon 2022,2022 FOOD SYSTEMS CHALLENGE HACK,Zoohackathon 2019 - Botswana,STEM JAM,CuseHacks Beta 2023
Connie Decker,API World Hackathon 2022,HackUTD VIII,Hack the Change 2022,AWSomeify Hackathon,BlockHack 2023
Joseph Leonard,HELPFUL HACKATHON: Tackling Climate Change ,NEXT CREATE-A-THON,Blockstack Can't Be Evil Contest: Part 3,Miami Buildathon,GreatUniHack19
Mark Mitchell,KuriusHacks: Christmas Edition 2021,NightHacks,Hack the Bubble - ARCADE,Technica 2021,The Raccoons 2022
Robert Tran,HackPrague 2020,FinHacks,FSI Hackathon,FutureHack,#HackTheHub Fintech Autumn Hackathon
Kevin Johnson,HackforNaija,Ingenium,Uberposition,CodeDAO Web3 Hackathon,Girls in Tech SF Hacking for Humanity 2022
James Daugherty,STEM JAM,Mixed Reality Challenge: StereoKit (C# and OpenXR),Liquid Hacks ,Invention Studio Fall Hackathon,Campus2030
Angela Hubbard,HackathonX,Nordic IT Security Hackathon 2023,hackUMBC Fall 2020,DemonHacks,1st PHYSICS Hackathon
Patricia Hudson,Moscow Zoohackathon,Bring Down Counterfeiting 2022: Policy Hackathon,GovTech Hackathon 2021,McGill CodeJam 12,hackUMBC Fall 2022
Cindy Oconnor,API World Hackathon 2022,The Robots Are Coming,Inspire2Dev Summer Hackathon,AR VR FEST HACKATHON,Hack-A-League
Olivia Gomez,Future of Forestry Hackathon,HR Hackathon: Embrace distributed teams and remote HR,12th Named Data Networking (NDN) Hackathon,DesignMerced,Sales Kickoff - International Hackathon
Lori Lester,API World Hackathon 2022,hackBCA VI,Steel Hacks 2023,HackHolyoke 2021,Hacky Winterland 2
Roy Fox,Bring Down Counterfeiting 2022: Policy Hackathon,MLH Coding Challenge,Lehman Hacks,TechTogether New York,GreatUniHack19
Jesus Smith,API World Hackathon 2022,Hack Your Learning - SchulichHacks 2023,Rehack ,DigiEduHack Barcelona,AI & Music festival hackathon
Matthew Guerrero,AI Blockchain,DeveloperWeek Enterprise 2022 Hackathon,API World Hackathon 2022,CodeXplode: Ignite the Coding Revolution,NUS Inter-Hall Hackathon
Troy Castillo MD,Open Web House Puerto Vallarta,CheeseHacks 2021,California Artificial Intelligence Summit (GCL),LEC Hacks 2.0,Hackadtech - open hackathon by AdTech Holding
Deanna Munoz,Hack to the Future 2020,SHPE 2020 Innovation Challenge,codelinc 7,Girls in Tech Virtual Hackathon: Fall 2020 Challenge,MHacks
Samantha Floyd,YB Hackathon,Privacy4Web3 Hackathon,Utonhack 2021 / Clover ,ONE Record Hackathon Toronto - Hosted by Air Canada Cargo & IBM,Swiss Blockchain Hackathon 2021
Anthony Johnson,Neighborhood Hacks 2,Amplitude London Hackathon,Foursquare Places Hackathon,FRC Back to School Hackathon,natHACKS 2023
Tonya Cooper,HackLBS,EZHacks,UX Scene Designathon 2022,FactHack 2023,Modzy AI Hackathon
Nicholas Barrett,BlockHack Hackathon,BlockHack 2023,UCL API Hackathon 2022,HackRPI,CodeRED Artemis
Michael Torres,Google’s Immersive Geospatial Challenge,DesignMerced,EUREKA! 2023,Facebook Developer Circle Hackathon - Los Angeles,AR VR FEST HACKATHON
Joshua Oconnor,All Inclusive Hacks,WAI Global Responsible AI Hackathon,UGAHacks Makeathon,Girls In Tech Hack,EZHacks
Alex Burton,API World Hackathon 2022,MontyHacks V,HackUDC,HackLBS,WildHacks
Andrew Perez,Random Power Hackathon,Bitcoin Hackathon for MFI & Education,The Global Hackathon - LA Blockchain Week ,Legend Hacks,BlockHack Hackathon
Andrea Brown,Google’s Immersive Geospatial Challenge,WyoHackathon 2020,Opportunity Hack 2023 - ASU Students Only,BlockHack Global FE 2022,YouthCodeX
Jenny Stafford,Hack WashU,HackTheMidlands 6.0,PlutoHacks,Hydrogen X Future Hackathon,UofA Blueprint Hackathon
Jeffrey Howard,CodeUp Hackathon,SHPE 2020 Innovation Challenge,bitsxlaMarató,Girls in Tech Virtual Hackathon: Fall 2020 Challenge,Cisco Meraki Global Hackathon 2022
Gary Hatfield,Google’s Immersive Geospatial Challenge,Pitt Challenge 2021,HackUiet 2021,XDC DeFi Hackathon,Hack Around The World
Janet Ortiz,The Metaverse Healthcare Hackathon,CodeShift,TAMU Datathon 2020,HackEPS 2021,FactHack 2023
Joseph Fitzgerald,AI Blockchain,PropTech Challenge - presented by REBNY,Web3 Hackathon Puerto Rico 2.0,Midnight Hacks,CodeDAO Web3 Hackathon
Julie Williams,Bring Down Counterfeiting 2022: Policy Hackathon,TonkaHacks 2022,DEEDhacks 2023,Hack Orlando, Luna Hacks 2.0
Jennifer Myers,Helyx India Hacks,Hack the Valley V,STEM JAM,AI in Education Hackathon by ASU ScaleU,Reconnect-Ed
Charles Melton,Google’s Immersive Geospatial Challenge,Sunflower Hackathon,NASA Space Apps Challenge Mountain View,CodeUp-Hack-22,Dashathon
Morgan Hernandez,API World Hackathon 2022,Hack-A-League,WeMakeDevs <> Stream Hackathon,Chainlink Fall Hackathon 2021,Cosmos HackAtom VI 
Ryan Hoover,API World Hackathon 2022,NSBE FRC Hackathon 2019,Code Green,Haryana Steelers Hackathon,HackWise 2020
Alex Drake,Google’s Immersive Geospatial Challenge,Data Natives Hackathon ,AI HackTrack at LiU,California Artificial Intelligence Summit (GCL),UNT NSBEHack 2022
Richard Sutton,API World Hackathon 2022,Investment Week La Hackathon 2023 ,12th Named Data Networking (NDN) Hackathon,Dashathon,India Innovation Series - Delhi NCR
Blake Pennington,SyntHacks II,API 2019 Hackathon,HackATL 2020,HP SCDS 2019 Hackathon. La España vacia,PharmaHacks 2019
Lisa Ellis,API World Hackathon 2022,Dementia - Our Common Challenge,#PayAsYouKnow Hackathon,Digital HackFair 2.0 | Bringing Technical Solutions to Empower Women,Hack At Home
Lance King,AWS Data Exchange for APIs Challenge,BostonHacks 2022,Kijiji Internal Hackathon,Fall 2022 BeaverHacks Life-Hackathon ,CrimsonCode Hackathon
Morgan Johnson,Machine Hacks,Ink and Metal | STEM Olympics,HackMorelos 12da Edicion,EZHacks,API 2019 Hackathon
Amanda Davis,WyoHackathon 2020,ETH Panama Hackathon 2022,Kiva Fall 2021 Hackathon,PayString BlockSprint Hackathon,Human DeFi Haeck
Chris Young,HackEPS 2021,AI Classroom Challenge,Kore.ai Botathon,Emerging Technology Hack 2019,Innova BCP
Nicolas Sullivan,hackTAMS Fall 2021,Post Covid Hack 2020,HACKMRU,Dementia - Our Common Challenge,Diffusion 2019
Johnathan Long,#HACK for Missions: Chicago | Orlando | Phoenix,Uganda Zoohackathon 2019,XDC DeFi Hackathon,Turn Language into Action: A Natural Language Hackathon for Good,PayString BlockSprint Hackathon
Steven Pierce,Google’s Immersive Geospatial Challenge,SacHacks IV,WildHacks,Back To Hacking,KuriusHacks: Christmas Edition 2021
Patricia Duncan,MLDA Deep Learning Week 2021 Hackathon,Patriot_Hacks,ConHacks 2023,Hack the Valley 8,HackSussex
Michael Bryant,Genius Challenge,Hacks for Humanity,Hopeathon Hawaii Has Been Cancelled Due to COVID,Liquid Hacks 3.0,SkyHack 3.0
Jennifer Crawford,Chainlink Fall 2022 Hackathon,SPARKATHON,1st PHYSICS Hackathon,DigitalBits Blockchain Hackathon,Stellar Meridian Hackathon 2020
Patrick Johnson,API World Hackathon 2022,Youth4Change Hackathon 2022,XRPL Hackathon: NFT Launch Party,Snap Spotlight Lensathon,5G Edge Computing Challenge with AWS
Lauren Parsons,API World Hackathon 2022,Hacking 4 Humanity COVID19,Hack-A-League,Hydra Hacks III,Defense Hackathon SRM 
Michael Clark,AWSomeify Hackathon,CrimsonCode Hackathon,TIQC x Code Resolve x Girls Who Code Hacks,NUS Inter-Hall Hackathon,Technica 2021
Gina Good,Privacy4Web3 Hackathon,Facebook Developer Circle Hackathon - Los Angeles,Torus 4 Everyone,Strike: A Virtual Lightning Hackathon,Bitcoin Hackathon for MFI & Education
Christine Knight,API World Hackathon 2022,Snap Kit Developer Challenge 2020,FuturistFest 2021,The ELC Virtual Hackathon,Garuda Hacks v2.0
Warren Middleton,Brook Codes 2021,APP-A-THON (Virtual Hackathon),Hack Brunel V2,Steel City Hacks: Winter Hack 2022,POSTPONED! -- Lopes Giving Back Hack 2022
Michelle Maldonado,API World Hackathon 2022,Ensenada Hackathon 2022,AI & Music festival hackathon,Clarkathon 2023,DigiEduHack Barcelona
Thomas Lam,Go Blue Innovate,INRIX Amazon University Hack 2023,IATA ONE Record Hackathon – hosted by Qatar Airways Cargo,Ink and Metal | STEM Olympics,Orange Inter-ODC Makeathon 2022
Paul Smith,Google’s Immersive Geospatial Challenge,The Climate Change-Makers Challenge: 2022,Rose Hack 2023,Design-a-thon,Digital EduHack South Asia 2021
Krystal Farley,Courier Hacks: Feature Focus,Start Green Hackathon 2020,uXperience | Think Privacy,EVMxIdeathon,Metaverso Hackathon
Mario Morris,12th Named Data Networking (NDN) Hackathon,Smart Aurangabad Hackathon ,Call for Startups,Fitch 2022 Codeathon for Education,Vivid Hacks RICI
Lindsay Archer,Appathon@HCC - Spring 2021,HackEPS2020,guadalahacks,MD Hacks,Stanford's SLAC Program STEM Media Competition
Charles Williams,[CANCELED] PITBU! Leveraging Tech for Social and Work Immigration,Hacks of Kindness,Hudson Valley Tech Festival & Hackathon,Hackathon Bojonegoro,Hack the Change 2023
